Place,Player,Alias,Character(s),Event Name,Year,Game Played,Top Character,Reasoning
7th,Unknown,RizOne,M. Bison,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
1st,Kun Xian Ho,Xian,Gen,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
2nd,Hajime Taniguchi,Tokido,Akuma,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
3rd,Seon-woo Lee,Infiltration,Akuma/Hakan,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
4th,Eduardo Perez,PR Balrog,Balrog/Fei Long,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
5th,Naoto Sako,sako,Evil Ryu/Ibuki,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
5th,Tatsuya Haitani,Haitani,Makoto/Rufus,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
7th,Daigo Umehara,Daigo Umehara,Ryu,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
7th,Bruce Hsiang,GamerBee,Adon,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition,Cammy,Top-tier choice in competitive play during Super Street Fighter IV era.
1st,Olivier Hay,Luffy,Rose,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
2nd,Masato Takahashi,Bonchan,Sagat,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
3rd,Keita Ai,Fuudo,Fei Long,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
4th,Darryl Lewis,Snake Eyez,Zangief,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
5th,Ghim Kee Eng,Gackt,Fei Long,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
5th,Ricky Ortiz,Ricky Ortiz,Rufus/Rolento,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
7th,Yusuke Momochi,Momochi,Ken/Juri,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
7th,Naoto Sako,sako,Elena/Evil Ryu/Gen/Ibuki,EVO 2014[],2014,Ultra Street Fighter IV,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
1st,Unknown,MAO,Vega,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
3rd,Unknown,Kurahashi,O. Ken/Ryu,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
4th,Unknown,Mattsun,Ken,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
5th,Unknown,Noguchi,Vega/O. Sagat,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
5th,Jason Nguyen,AfroLegends,Balrog/Dee Jay,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
7th,Unknown,Hanashi,Fei Long/Dee Jay/E. Honda,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
7th,Alex Valle,Alex Valle,O. Sagat,EVO 2014[],2014,Super Street Fighter II Turbo,Evil Ryu,Popular among skilled players for his unique balance of power and difficulty.
1st,Yusuke Momochi,Momochi,Ken/Evil Ryu/Elena,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
2nd,Bruce Yu-lin Hsiang,GamerBee,Adon/Elena,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
3rd,Seon-wu Lee,Infiltration,Evil Ryu/Elena/Chun-Li/Decapre/Abel/Juri/Akuma/Ryu,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
4th,Naoki Nemoto,Nemo,Rolento,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
5th,Tomoya Nomura,AiAi,Juri,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
5th,Hajime Taniguchi,Tokido,Akuma,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
7th,Eduardo Pérez-Frangie,PR Balrog/Balrog,EVO 2015[],2015,Ultra Street Fighter IV,,,
7th,Du Dang,NuckleDu,Guile/Decapre,EVO 2015[],2015,Ultra Street Fighter IV,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
1st,Shinya Onuki,Nuki,Chun-Li,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
2nd,ElTrouble,ElTrouble,Dhalsim/Ken,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
3rd,UltraCombo,UltraCombo,O. Sagat/Vega,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
4th,Damien Dailidenas,Damdai,O. Ryu,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
5th,DigitalInfamy,DigitalInfamy,Ryu/Balrog,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
5th,Fromo,Fromo,Blanka,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
7th,,Baby Nine,E. Honda,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
7th,,Bab Munn3y,Balrog,EVO 2015[],2015,Super Street Fighter II Turbo,Ken,Revived by Momochi's success in major tournaments with his aggressive style.
1st,Seon-wu Lee,Infiltration,Nash,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
2nd,Keita Ai,Fuudo,R. Mika,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
3rd,Atsushi Fujimura,Yukadon,Nash,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
4th,Goichi Kishida,GO1,Chun-Li,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
5th,Joe Ciaramelli,LI Joe,Nash,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
5th,Joe Egami,MOV,Chun-Li,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
7th,Hiroyuki Nagata,Eita,Ken,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
7th,Naoki Nemoto,Nemo,Vega,EVO 2016[],2016,Street Fighter V,Nash,Strong early meta character in the initial release of Street Fighter V.
1st,Hajime Taniguchi,Tokido,Akuma,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
2nd,Victor Woodley,Punk,Karin/Nash,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
3rd,Ryota Inoue,Kazunoko,Cammy,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
4th,Hiromiki Kumada,Itabashi Zangief,Zangief,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,Naoki Nakayama,moke,Rashid,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,Du Dang,NuckleDu,Guile,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
7th,Joe Egami,MOV,Chun-Li,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
7th,Ryan Ramirez,Filipino Champ,Dhalsim,EVO 2017[],2017,Street Fighter V,Karin,Dominated tournaments with players like Punk excelling with her precision style.
1st,Hao Liu,Beesu,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
2nd,Eric K,Eric K,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
3rd,Henri Oung,Chi-Rithy,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
4th,Cyrox,Cyrox,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,FaceNC,FaceNC,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,,Shin,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
7th,,NastyNate,Yun,EVO 2017[],2017.Street Fighter III: 3rd Strike,,,
7th,KaraPalm,KaraPalm,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike,Karin,Dominated tournaments with players like Punk excelling with her precision style.
1st,ElTrouble,ElTrouble,Dhalsim,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
2nd,UltraCombo,UltraCombo,O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
3rd,Myung,Myung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
4th,DarknessITF,DarknessITF,Balrog/Vega,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,Ury Escarez Ferreira,URY,Balrog/O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
5th,Bolo Yeung,Bolo Yeung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
7th,Munny,Munny,Vega/Balrog,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
7th,Catie Lanier,MissingPerson,O. Chun-Li,EVO 2017[],2017,Super Street Fighter II Turbo,Karin,Dominated tournaments with players like Punk excelling with her precision style.
1st,Benjamin Simon,Problem X,M. Bison/Abigail,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
2nd,Hajime Taniguchi,Tokido,Akuma,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
3rd,Keita Ai,Fuudo,R. Mika,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
4th,Tsunehiro Kanamori,gachikun,Rashid,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Olivier Hay,Luffy,R. Mika,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Marcus Redmond,THE COOL KID93,Abigail,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Cristopher Rodriguez,Caba,Guile,EVO 2018[],2018,Street Fighter V,Akuma,Widely considered the best character in Street Fighter V this year.
1st,Bryant Huggins,Smug,Dudley,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
2nd,Lee Chung-gon,Poongko,Seth,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
3rd,Brentt Franks,Brenttiscool,Rufus,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
4th,Iansanity,Iansanity,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Sanford Kelly,Sanford Kelly,Sagat,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Valentin Petit,Valmaster,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
7th,CastBlanka,CastBlanka,Blanka,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Arrow,Arrow,E. Honda,EVO 2018[],2018,Ultra Street Fighter IV,Akuma,Widely considered the best character in Street Fighter V this year.
1st,Ryan,Ryan,Ken,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
2nd,FMJ,FMJ,,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
3rd,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
4th,Hao Liu,Beesu,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Cookye,Cookye,Elena,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
5th,Hungbee,Hungbee,Oro,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Mexi,Mexi,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
7th,FaceTX,FaceTX,Dudley,EVO 2018[],2018,Street Fighter III: 3rd Strike,Akuma,Widely considered the best character in Street Fighter V this year.
1st,RenoMD,RenoMD,M. Bison,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
2nd,Tomo,Tomo,Ryu/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
3rd,John Choi,John Choi,O. Sagat,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
4th,KillerMiller,KillerMiller,E. Honda,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
5th,SilentScope,SilentScope,Cammy,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
5th,DigitalInfamy,DigitalInfamy,O. Sagat/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Myung,Myung,Vega,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
7th,Fromo,Fromo,Blanka,EVO 2018[],2018,Super Street Fighter II Turbo,Akuma,Widely considered the best character in Street Fighter V this year.
1st,Masato Takahashi,Bonchan,Karin/Sagat,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
2nd,Adel Anouche,BigBird,Rashid,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
3rd,DC Coleman,Infexious,Zeku,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
4th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Masahiro Tominaga,Machabo,Necalli,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Derek Ruffin,iDom,Laura,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
7th,Huang Chaozhou,Yang Mian,Zeku,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
7th,Hiroki Asano,Kichipa-mu,Zangief,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
1st,Nakano Sagat,Nakano Sagat,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
2nd,RenoMD,RenoMD,M. Bison,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
3rd,Logiclv,Logiclv,Balrog,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
4th,SilentScope88,SilentScope88,Cammy,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Ryo Yoshida,Bas,O. Sagat,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Fromo,Fromo,Blanka,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
7th,LordBBH,LordBBH,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
1st,Masaki Kawano,Kawano,Kolin,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Derek Ruffin,iDom,Poison/Laura,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Tsunehiro Kanamori,Gachikun,Rashid,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Hajime Taniguchi,Tokido,Urien/Luke,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Daigo Umehara,Daigo Umehara,Guile,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Lin Li-wei,Oil King,Rashid/Seth,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Nathan Massol,Mister Crimson,Dhalsim,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,David Edwards,Justakid,Juri,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Brentt Franks,brenttiscool,Rufus,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,InsanelyKrazy,InsanelyKrazy,SethSagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,AutoDemon,AutoDemon,Akuma,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,BlockBuster Jon,BlockBuster Jon,Adon/Sagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,bjUnchained,bjUnchained,Sagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Cormano,Cormano,El Fuerte,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Luken,Luken,Evil Ryu,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Dominique McCowin,Ace Unlimited,Guy,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Hao Liu,Beesu,Yun,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Arlieth,Arlieth,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Face,Face,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Rakurai,Rakurai,Makoto/Ken,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,OG Dash,OG Dash,Oro,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Greenjoker23,Greenjoker23,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VenenoFGC,VenenoFGC,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,John Choi,John Choi,Sakura,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,VERSION,VERSION,Cody/Charlie,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Kayaman,Kayaman,Balrog/Blanka,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,SabreAZ,SabreAZ,Cody,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,EricTurbo,EricTurbo,O. Sakura,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DR. B GALAXY B,DR. B GALAXY B,Ryu,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VodkaGobalsky,VodkaGobalsky,Zangief,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,John Choi,John Choi,Ken,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Veri7as,Veri7as,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,SlamTown,SlamTown,Birdie,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Porksoda,Porksoda,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Greenjoker23,Greenjoker23,Adon,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,SabreAZ,SabreAZ,Rolento,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,AiRiC,AiRiC,Ryu,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,x64,x64,E. Honda,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Docj88,Docj88,Chun-Li/Dhalsim/Dee Jay,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,D.Owls,D.Owls,Fei Long/Dhalsim,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,TheNom7,TheNom7,Shin Akuma,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Rakurai,Rakurai,Ken,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,teamkhris,teamkhris,Chun-Li,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DaddyBlanka,DaddyBlanka,Blanka,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DR.B GALAXY B,DR.B GALAXY B,Ryu,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,SuperrV,SuperrV,Balrog,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,John Choi,John Choi,O. Ryu,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,x64,x64,E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,MegamanX,MegamanX,Ryu/Zangief,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Ryo Yoshida,D44BAS,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Myung,Myung,Vega,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,EricTurbo,EricTurbo,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VodkaGobalsky,VodkaGobalsky,Zangief/E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Amjad Al-Shalabi,AngryBird,Ken,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,Saul Leonardo Mena II,MenaRD,Blanka/Luke,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Victor Woodley,Punk,Cammy,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
